,-50%,-20%,-10%,-5%,0%,5%,20%,50%,100%,200%,300%
-30%,-100.0,-100.0,-100.0,-100.0,-100.0,-100.00000000000003,-99.99999999997759,-99.99999964899476,-99.99912767154292,-99.61541655667887,-95.4691834758748
-15%,-99.99999999999983,-99.9999711136928,-99.99956204058002,-99.99872158400196,-99.9967675808868,-99.9927345748557,-99.95114737416172,-99.46332640006513,-95.55499689638928,-70.20809363910467,-25.27456671390273
-10%,-99.99998968149124,-99.94655212558403,-99.80729694595723,-99.6776524184098,-99.49411927464307,-99.24682291159746,-98.03919957974199,-93.09345918137453,-77.23603789387968,-25.457935120037416,40.47310368232457
-5%,-99.58224479137921,-93.98396558005005,-90.46106814579645,-88.43200513964177,-86.24226116287102,-83.9046812497943,-76.12212504500195,-57.93808327847167,-22.927627739216405,55.05611290840855,137.26742286267168
-2%,-86.39678203631419,-64.52578112140158,-56.590345520906325,-52.55473595830367,-48.482419977430055,-44.378391467911754,-31.91418328732653,-6.523879237651268,36.51744988743688,123.6591169938128,211.25235462440787
0%,-44.26268021753404,-17.76077200158091,-8.885469834313337,-4.4437966328465475,0.0,4.445599714287601,17.790800377650168,44.50505638588101,89.05895273250928,178.16755665115375,267.1924991716404
2%,35.81256586941456,53.97085209512872,61.173128534806956,64.90391383648614,68.70590565378174,72.56999978406562,84.46389363777278,109.18378140498031,151.8798127758356,239.54354914823494,328.281342925296
5%,190.763863214026,194.99076244153795,198.00150961792966,199.7920444605185,201.7584558062458,203.88933671127236,211.1568648013388,228.7568903049654,263.78239568410777,343.75905179407386,429.1182646366348
10%,460.4490904780442,460.52524837888933,460.71115320121396,460.87955454353386,461.1141630571773,461.42595835286676,462.91371068126284,468.80624871911374,487.14221134226347,545.6844212200177,619.4131929331269
15%,730.3413980181045,730.3417141339943,730.344492225604,730.3490229392633,730.3580763295297,730.3744799073951,730.5082833127016,731.642836504906,738.5296213964677,774.8119527353057,833.0623305521651
30%,1540.01838273665,1540.01838273665,1540.0183827366664,1540.0183827369153,1540.0183827394678,1540.018382758504,1540.0183852472333,1540.019175595326,1540.111567789369,1544.4948634846328,1563.5801010688035
